UF;NACIONALIDADE;CLASSIFICACAO;QTD
RJ;PORTUGAL;Residente;70529
RJ;CHILE;Residente;2745
RJ;COLÔMBIA;Residente;2705
RJ;ESTADOS UNIDOS;Residente;5464
RJ;CHINA;Residente;6039
RJ;ARGENTINA;Residente;12795
RJ;ITÁLIA;Residente;8366
RJ;BOLÍVIA;Residente;1451
RJ;REP. DOMINICANA;Residente;74
RJ;ESPANHA;Residente;8090
RJ;RÚSSIA;Residente;606
RJ;REINO UNIDO;Temporário;791
RJ;PARAGUAI;Residente;676
RJ;VENEZUELA;Residente;2505
RJ;ALEMANHA;Residente;3706
RJ;EQUADOR;Residente;544
RJ;FRANÇA;Residente;5501
RJ;HAITI;Residente;1715
RJ;URUGUAI;Residente;2052
RJ;AUSTRIA;Temporário;39
RJ;AUSTRIA;Residente;519
RJ;REINO UNIDO;Residente;2514
RJ;AUSTRÁLIA;Residente;296
RJ;LÍBANO;Residente;639
RJ;DINAMARCA;Residente;334
RJ;GRÉCIA;Residente;275
RJ;SUÉCIA;Residente;495
RJ;CAMARÕES;Residente;44
RJ;PAÍSES BAIXOS;Temporário;169
RJ;LETÔNIA;Residente;16
RJ;ANGOLA;Residente;2405
RJ;COLÔMBIA;Temporário;1145
RJ;BÉLGICA;Residente;573
RJ;INDIA;Residente;322
RJ;POLÔNIA;Residente;486
RJ;ISRAEL;Residente;248
RJ;ROMÊNIA;Residente;195
RJ;CORÉIA DO SUL;Residente;232
RJ;NORUEGA;Residente;570
RJ;JAPÃO;Residente;2304
RJ;SÍRIA;Residente;544
RJ;PERU;Residente;2651
RJ;SUÍCA;Residente;1187
RJ;AFRICA DO SUL;Temporário;94
RJ;FRANÇA;Temporário;763
RJ;SERRA LEOA;Residente;14
RJ;CHILE;Temporário;477
RJ;LUXEMBURGO;Residente;13
RJ;GRÉCIA;Temporário;16
RJ;AFRICA DO SUL;Residente;150
RJ;GUINÉ BISSAU;Residente;82
RJ;PALESTINA;Residente;21
RJ;CUBA;Residente;688
RJ;EQUADOR;Temporário;422
RJ;MÉXICO;Residente;758
RJ;CROÁCIA;Residente;36
RJ;ANGOLA;Provisório;167
RJ;TUNÍSIA;Residente;39
RJ;FILIPINAS;Residente;188
RJ;SERVIA E MONTENEGRO;Residente;96
RJ;HUNGRIA;Residente;153
RJ;EL SALVADOR;Residente;57
RJ;CANADÁ;Residente;574
RJ;COSTA RICA;Residente;91
RJ;INDONÉSIA;Residente;47
RJ;CONGO;Residente;344
RJ;CUBA;Temporário;52
RJ;MARROCOS;Residente;109
RJ;PAÍSES BAIXOS;Residente;1100
RJ;FINLÂNDIA;Residente;142
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;140
RJ;HONDURAS;Residente;47
RJ;REPÚBLICA TCHECA;Residente;54
RJ;LITUÂNIA;Residente;71
RJ;FILIPINAS;Temporário;1260
RJ;PERU;Temporário;726
RJ;ESLOVÁQUIA;Residente;18
RJ;DINAMARCA;Temporário;80
RJ;ESTADOS UNIDOS;Temporário;678
RJ;POLÔNIA;Temporário;436
RJ;TURCOMENISTÃO;Residente;3
RJ;LETÔNIA;Temporário;39
RJ;PANAMÁ;Residente;105
RJ;NICARÁGUA;Residente;79
RJ;ITÁLIA;Temporário;180
RJ;CABO VERDE;Residente;135
RJ;GUATEMALA;Residente;53
RJ;JORDÂNIA;Residente;61
RJ;CORÉIA DO SUL;Temporário;27
RJ;GÂMBIA;Residente;3
RJ;IRLANDA;Residente;154
RJ;UCRÂNIA;Temporário;155
RJ;SRI LANKA;Residente;9
RJ;CINGAPURA;Residente;50
RJ;GANA;Temporário;41
RJ;INDIA;Temporário;437
RJ;BULGÁRIA;Residente;33
