UF;NACIONALIDADE;CLASSIFICACAO;QTD
DF;GRÉCIA;Residente;62
DF;SUÍCA;Residente;101
DF;BANGLADESH;Residente;270
DF;VENEZUELA;Temporário;1585
DF;HAITI;Temporário;219
DF;AUSTRIA;Residente;45
DF;ESPANHA;Residente;529
DF;PAÍSES BAIXOS;Residente;168
DF;ITÁLIA;Residente;519
DF;COLÔMBIA;Residente;1068
DF;VENEZUELA;Residente;2032
DF;ARGENTINA;Residente;730
DF;TURQUIA;Provisório;9
DF;GANA;Provisório;44
DF;JAPÃO;Residente;591
DF;PORTUGAL;Residente;1218
DF;PARAGUAI;Residente;254
DF;ESTADOS UNIDOS;Temporário;81
DF;CHINA;Residente;604
DF;LÍBANO;Residente;205
DF;GUINÉ BISSAU;Residente;53
DF;PERU;Residente;662
DF;JAPÃO;Temporário;3
DF;CANADÁ;Temporário;12
DF;REP. DOMINICANA;Residente;25
DF;CHILE;Residente;390
DF;ESTADOS UNIDOS;Residente;985
DF;COLÔMBIA;Temporário;427
DF;HAITI;Residente;767
DF;CUBA;Residente;453
DF;PARAGUAI;Temporário;39
DF;SRI LANKA;Residente;4
DF;COLÔMBIA;Provisório;16
DF;GANA;Residente;426
DF;CABO VERDE;Residente;18
DF;MARROCOS;Residente;53
DF;GUINÉ BISSAU;Provisório;8
DF;SÍRIA;Residente;171
DF;PERU;Provisório;9
DF;NIGÉRIA;Residente;105
DF;IRLANDA;Residente;37
DF;MOÇAMBIQUE;Residente;15
DF;FRANÇA;Residente;484
DF;EQUADOR;Residente;123
DF;MÉXICO;Residente;153
DF;SENEGAL;Residente;86
DF;BOLÍVIA;Temporário;38
DF;FILIPINAS;Residente;48
DF;GUATEMALA;Provisório;1
DF;ISRAEL;Residente;39
DF;CORÉIA DO SUL;Provisório;1
DF;CORÉIA DO SUL;Residente;138
DF;GUINÉ;Residente;9
DF;POLÔNIA;Residente;87
DF;VENEZUELA;Provisório;517
DF;RÚSSIA;Residente;73
DF;PAQUISTÃO;Provisório;43
DF;REINO UNIDO;Residente;243
DF;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;19
DF;URUGUAI;Residente;216
DF;PERU;Temporário;99
DF;JORDÂNIA;Residente;117
DF;LÍBIA;Residente;119
DF;CAMARÕES;Residente;77
DF;NOVA ZELÂNDIA;Residente;33
DF;SENEGAL;Temporário;7
DF;ALEMANHA;Residente;344
DF;BOLÍVIA;Residente;266
DF;TRINIDAD E TOBAGO;Residente;6
DF;PAQUISTÃO;Residente;270
DF;CHINA;Temporário;29
DF;CANADÁ;Residente;150
DF;PAQUISTÃO;Temporário;5
DF;IRÃ;Residente;41
DF;EGITO;Residente;45
DF;CUBA;Provisório;201
DF;MARROCOS;Provisório;13
DF;BÉLGICA;Residente;78
DF;TUNÍSIA;Residente;18
DF;GUATEMALA;Residente;20
DF;TURQUIA;Residente;33
DF;FINLÂNDIA;Residente;12
DF;EMIRADOS ÁRABES;Residente;1
DF;INDIA;Residente;78
