UF;NACIONALIDADE;CLASSIFICACAO;QTD
SP;VENEZUELA;Residente;10273
SP;ANGOLA;Residente;4218
SP;PORTUGAL;Residente;78595
SP;CORÉIA DO SUL;Residente;15481
SP;HAITI;Residente;25561
SP;BOLÍVIA;Residente;84567
SP;CHINA;Residente;35527
SP;ITÁLIA;Residente;25604
SP;CHILE;Residente;15808
SP;COLÔMBIA;Temporário;2473
SP;PERU;Residente;13742
SP;JAPÃO;Residente;41586
SP;CONGO;Residente;638
SP;SUÍCA;Residente;2067
SP;JAPÃO;Temporário;371
SP;BOLÍVIA;Temporário;4768
SP;URUGUAI;Residente;5294
SP;MÉXICO;Temporário;241
SP;NIGÉRIA;Residente;4060
SP;TAILÂNDIA;Residente;94
SP;SÍRIA;Residente;3650
SP;MÉXICO;Residente;2759
SP;ARGENTINA;Residente;21132
SP;ESTADOS UNIDOS;Residente;10959
SP;REINO UNIDO;Residente;3820
SP;VENEZUELA;Temporário;7629
SP;FRANÇA;Residente;7697
SP;HUNGRIA;Residente;533
SP;ARGENTINA;Temporário;246
SP;ESPANHA;Residente;23189
SP;ESTADOS UNIDOS;Temporário;891
SP;PARAGUAI;Residente;9767
SP;COLÔMBIA;Residente;10240
SP;ALEMANHA;Residente;10890
SP;LÍBANO;Residente;5901
SP;PERU;Temporário;1399
SP;BULGÁRIA;Residente;121
SP;INDONÉSIA;Temporário;14
SP;MOLDOVA;Residente;13
SP;GUINÉ BISSAU;Residente;676
SP;ANGOLA;Provisório;2550
SP;PAÍSES BAIXOS;Residente;2457
SP;FILIPINAS;Residente;502
SP;GRÉCIA;Residente;1070
SP;HAITI;Temporário;9607
SP;ALEMANHA;Temporário;250
SP;ARGÉLIA;Residente;92
SP;ISRAEL;Residente;973
SP;ROMÊNIA;Residente;1458
SP;EQUADOR;Temporário;886
SP;CUBA;Provisório;529
SP;TUNÍSIA;Provisório;42
SP;BELARUS;Temporário;6
SP;SUÉCIA;Residente;958
SP;MARROCOS;Residente;459
SP;CABO VERDE;Residente;298
SP;CUBA;Residente;2627
SP;EGITO;Residente;742
SP;APÁTRIDA;Residente;691
SP;CHINA;Temporário;919
SP;COSTA DO MARFIM;Residente;77
SP;BANGLADESH;Residente;1020
SP;FRANÇA;Temporário;333
SP;IRLANDA;Residente;395
SP;AUSTRÁLIA;Residente;596
SP;EQUADOR;Residente;1637
SP;SENEGAL;Residente;1913
SP;BÉLGICA;Residente;1130
SP;DINAMARCA;Residente;427
SP;CANADÁ;Residente;1249
SP;PARAGUAI;Temporário;791
SP;GUINÉ;Residente;149
SP;INDIA;Residente;1255
SP;LÍBANO;Provisório;164
SP;JORDÂNIA;Residente;239
SP;GUIANA FRANCESA;Residente;84
SP;BENIN;Residente;124
SP;PALESTINA;Residente;404
SP;EGITO;Provisório;63
SP;MAURITÂNIA;Residente;45
SP;MOÇAMBIQUE;Temporário;102
SP;GUATEMALA;Temporário;29
SP;REP. DOMINICANA;Residente;352
SP;TURQUIA;Residente;447
SP;VIETNAM DO NORTE;Residente;14
SP;CHINA;Provisório;722
SP;CHILE;Temporário;399
SP;AFRICA DO SUL;Residente;348
SP;BANGLADESH;Temporário;140
SP;GUINÉ;Provisório;80
SP;NIGÉRIA;Provisório;444
SP;ANGOLA;Temporário;522
SP;BURKINA FASO;Provisório;36
SP;LÍBIA;Residente;163
SP;CAMARÕES;Residente;266
SP;RÚSSIA;Residente;808
SP;ESPANHA;Temporário;238
SP;TANZÂNIA;Residente;77
SP;SERRA LEOA;Residente;136
SP;SERVIA E MONTENEGRO;Residente;1211
SP;POLÔNIA;Residente;1268
SP;IRÃ;Residente;363
SP;PORTUGAL;Temporário;189
SP;MOÇAMBIQUE;Residente;230
SP;PAQUISTÃO;Residente;504
SP;GANA;Residente;334
SP;ISLÂNDIA;Residente;20
SP;SUDÃO;Residente;49
SP;GUATEMALA;Residente;209
SP;VENEZUELA;Provisório;1926
SP;AFEGANISTÃO;Provisório;136
SP;MOÇAMBIQUE;Provisório;39
SP;COSTA DO MARFIM;Provisório;14
SP;FINLÂNDIA;Residente;298
SP;GUINÉ BISSAU;Temporário;67
SP;SÍRIA;Temporário;39
SP;LETÔNIA;Residente;193
SP;MALÁSIA;Residente;95
SP;UCRÂNIA;Residente;292
SP;NOVA ZELÂNDIA;Residente;141
SP;REPÚBLICA TCHECA;Residente;140
SP;COSTA RICA;Residente;270
SP;GUINÉ BISSAU;Provisório;175
SP;LÍBANO;Temporário;49
SP;PANAMÁ;Residente;248
SP;CINGAPURA;Residente;64
SP;CAMARÕES;Provisório;53
SP;NORUEGA;Residente;232
SP;DINAMARCA;Temporário;16
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;145
SP;EL SALVADOR;Residente;192
SP;IÊMEN;Residente;138
SP;TOGO;Residente;140
SP;HONDURAS;Residente;117
SP;LIBÉRIA;Residente;29
SP;LUXEMBURGO;Residente;31
SP;TCHECOSLOVAQUIA;Residente;117
SP;NIGÉRIA;Temporário;68
SP;POLÔNIA;Temporário;58
SP;ARÁBIA SAUDITA;Residente;34
SP;BELIZE;Residente;2
