UF;NACIONALIDADE;CLASSIFICACAO;QTD
SP;PORTUGAL;Residente;77112
SP;CORÉIA DO SUL;Residente;15728
SP;ITÁLIA;Residente;25233
SP;ALEMANHA;Residente;10918
SP;BOLÍVIA;Residente;87476
SP;CHINA;Residente;36283
SP;PARAGUAI;Residente;10208
SP;JAPÃO;Residente;41293
SP;URUGUAI;Residente;5452
SP;FRANÇA;Residente;7786
SP;ESPANHA;Residente;22927
SP;CHILE;Residente;15889
SP;NIGÉRIA;Residente;4662
SP;ARGENTINA;Residente;22328
SP;PERU;Residente;14414
SP;ESTADOS UNIDOS;Residente;11258
SP;ANGOLA;Residente;5271
SP;COLÔMBIA;Residente;11124
SP;HAITI;Residente;28416
SP;CUBA;Residente;3259
SP;SUÍCA;Residente;2080
SP;EGITO;Residente;875
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;21
SP;LITUÂNIA;Residente;1146
SP;EQUADOR;Residente;1820
SP;GUINÉ BISSAU;Residente;860
SP;BOLÍVIA;Temporário;23478
SP;TURQUIA;Residente;536
SP;LÍBANO;Residente;6252
SP;QUÊNIA;Residente;54
SP;MÉXICO;Residente;2947
SP;REINO UNIDO;Residente;3918
SP;SUÉCIA;Residente;996
SP;PAÍSES BAIXOS;Residente;2479
SP;RÚSSIA;Residente;991
SP;SÍRIA;Residente;3969
SP;MOÇAMBIQUE;Residente;268
SP;CONGO;Residente;599
SP;FILIPINAS;Residente;551
SP;VENEZUELA;Residente;14091
SP;GUINÉ BISSAU;Temporário;134
SP;GUATEMALA;Residente;223
SP;FILIPINAS;Temporário;252
SP;AUSTRIA;Residente;1159
SP;SÉRVIA;Residente;89
SP;POLÔNIA;Residente;1270
SP;DINAMARCA;Residente;439
SP;HUNGRIA;Residente;538
SP;INDIA;Residente;1344
SP;PALESTINA;Residente;445
SP;CANADÁ;Residente;1309
SP;JORDÂNIA;Residente;256
SP;SENEGAL;Residente;2418
SP;TANZÂNIA;Residente;88
SP;BÉLGICA;Residente;1151
SP;BANGLADESH;Residente;1461
SP;AUSTRÁLIA;Residente;619
SP;CROÁCIA;Residente;97
SP;ARGÉLIA;Residente;96
SP;BELARUS;Residente;40
SP;MALTA;Residente;22
SP;IRÃ;Residente;418
SP;AFRICA DO SUL;Residente;382
SP;ARGENTINA;Temporário;620
SP;ANGOLA;Provisório;5014
SP;IRLANDA;Residente;416
SP;PANAMÁ;Residente;255
SP;ANGOLA;Temporário;977
SP;CABO VERDE;Residente;325
SP;MARROCOS;Residente;539
SP;CUBA;Temporário;240
SP;EMIRADOS ÁRABES;Residente;12
SP;NOVA ZELÂNDIA;Residente;146
SP;PORTUGAL;Temporário;256
SP;CAMARÕES;Residente;319
SP;GRÉCIA;Residente;1055
SP;COSTA RICA;Residente;281
SP;IUGUSLAVIA;Residente;5
SP;PARAGUAI;Temporário;2044
SP;NEPAL;Residente;57
SP;NICARÁGUA;Residente;166
SP;CHINA;Temporário;1503
SP;COLÔMBIA;Temporário;4585
SP;BURKINA FASO;Residente;96
SP;ISRAEL;Residente;981
SP;BENIN;Temporário;51
SP;ALEMANHA;Temporário;433
SP;PAQUISTÃO;Residente;593
SP;BENIN;Residente;144
SP;LETÔNIA;Residente;195
SP;JAPÃO;Temporário;413
SP;AUSTRÁLIA;Temporário;30
SP;PERU;Temporário;3653
SP;ESTADOS UNIDOS;Temporário;2191
SP;FRANÇA;Temporário;586
SP;HONDURAS;Residente;126
SP;GUIANA FRANCESA;Residente;78
SP;REP. DOMINICANA;Residente;401
SP;CONGO;Temporário;16
SP;NORUEGA;Residente;238
SP;UCRÂNIA;Residente;293
SP;FINLÂNDIA;Residente;302
SP;ANDORRA;Residente;4
SP;APÁTRIDA;Residente;681
SP;INDONÉSIA;Residente;196
SP;TUNÍSIA;Residente;164
SP;EL SALVADOR;Residente;204
SP;MOÇAMBIQUE;Temporário;170
SP;SERVIA E MONTENEGRO;Residente;1191
SP;MALI;Residente;164
SP;EQUADOR;Temporário;1647
SP;BAHAMA,IS;Residente;5
SP;REPÚBLICA TCHECA;Residente;145
SP;VENEZUELA;Temporário;16262
SP;HONDURAS;Temporário;36
SP;COSTA DO MARFIM;Residente;88
SP;EL SALVADOR;Temporário;42
SP;HAITI;Temporário;4993
SP;LÍBIA;Residente;196
SP;GUINÉ;Residente;194
SP;GANA;Residente;366
SP;CORÉIA DO SUL;Temporário;305
SP;SERRA LEOA;Residente;139
SP;ROMÊNIA;Residente;1463
SP;SAO TOMÉ E PRÍNCIPE;Residente;21
SP;GABÃO;Residente;5
SP;TRINIDAD E TOBAGO;Residente;27
SP;ESLOVÊNIA;Residente;40
SP;BÓSNIA-HERZEGOVINA;Residente;17
SP;ARÁBIA SAUDITA;Residente;37
SP;PERU;Provisório;22
SP;COSTA RICA;Temporário;79
SP;BURUNDI;Residente;27
SP;TAILÂNDIA;Residente;106
SP;SURINAME;Residente;20
SP;GÂMBIA;Residente;67
SP;SRI LANKA;Residente;13
SP;IRÃ;Temporário;91
SP;PALESTINA;Provisório;39
SP;IRAQUE;Residente;213
SP;CHILE;Temporário;749
SP;ARMÊNIA;Residente;58
SP;TOGO;Residente;174
SP;GUATEMALA;Temporário;59
SP;ESPANHA;Temporário;280
SP;ANTILHAS HOLÂNDESAS;Residente;4
SP;ZIMBÁBUE;Residente;12
SP;CUBA;Provisório;1910
SP;ILHAS CANARIAS;Residente;8
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;212
SP;JAMAICA;Temporário;8
SP;SUDÃO;Residente;72
SP;PARAGUAI;Provisório;11
SP;RÚSSIA;Temporário;222
SP;PAQUISTÃO;Temporário;46
SP;BULGÁRIA;Residente;129
SP;VIETNAM DO NORTE;Residente;12
SP;ITÁLIA;Temporário;368
SP;ESLOVÁQUIA;Residente;66
SP;TCHECOSLOVAQUIA;Residente;114
SP;ALBÂNIA;Residente;25
SP;ISLÂNDIA;Residente;20
SP;CINGAPURA;Residente;74
SP;PAÍSES BAIXOS;Temporário;82
SP;MALÁSIA;Residente;97
SP;CABO VERDE;Temporário;71
SP;LUXEMBURGO;Residente;31
SP;INDIA;Temporário;418
SP;GRANADA;Residente;6
SP;GIBRALTAR;Residente;5
SP;GANA;Temporário;23
SP;ZÂMBIA;Residente;13
SP;VIETINA;Residente;73
SP;CAMARÕES;Provisório;66
SP;PORTO RICO;Residente;4
SP;SÃO VICENTE E GRANADINAS;Residente;4
SP;BHUTAN;Residente;3
SP;URUGUAI;Temporário;49
SP;NIGÉRIA;Provisório;441
SP;CAMARÕES;Temporário;15
SP;MAURÍCIO;Residente;30
SP;TAIWAN, PROVINCIA DA CHINA;Residente;87
SP;JAMAICA;Residente;16
SP;CAMBOJA;Residente;5
SP;REPÚBLICA TCHECA;Temporário;14
SP;SAO TOMÉ E PRÍNCIPE;Temporário;22
SP;MÉXICO;Temporário;388
SP;TOGO;Temporário;10
SP;IÊMEN;Residente;149
SP;GEÓRGIA;Residente;12
SP;BUTÃO;Residente;9
