UF;NACIONALIDADE;CLASSIFICACAO;QTD
SP;COLÔMBIA;Residente;10802
SP;BOLÍVIA;Residente;86921
SP;ARGENTINA;Residente;21888
SP;CORÉIA DO SUL;Residente;15626
SP;PORTUGAL;Residente;77525
SP;ANGOLA;Provisório;4063
SP;HAITI;Temporário;5430
SP;JAPÃO;Residente;41300
SP;PARAGUAI;Temporário;1508
SP;NIGÉRIA;Residente;4485
SP;FRANÇA;Residente;7751
SP;BOLÍVIA;Temporário;17416
SP;CHINA;Residente;35909
SP;CHILE;Residente;15840
SP;URUGUAI;Residente;5370
SP;BULGÁRIA;Residente;127
SP;FILIPINAS;Residente;533
SP;VENEZUELA;Temporário;13605
SP;ANGOLA;Residente;4902
SP;PERU;Residente;14276
SP;ESPANHA;Residente;22949
SP;HAITI;Residente;27732
SP;LÍBANO;Provisório;252
SP;PANAMÁ;Residente;252
SP;ITÁLIA;Residente;25289
SP;SAN MARINO;Temporário;1
SP;PERU;Temporário;2713
SP;SÍRIA;Residente;3860
SP;BANGLADESH;Temporário;134
SP;GRÉCIA;Residente;1058
SP;ALEMANHA;Residente;10919
SP;ESTADOS UNIDOS;Residente;11151
SP;EQUADOR;Temporário;1519
SP;PARAGUAI;Residente;10088
SP;CHILE;Temporário;609
SP;COLÔMBIA;Temporário;3922
SP;ISRAEL;Residente;974
SP;MÉXICO;Residente;2890
SP;ESPANHA;Temporário;284
SP;CUBA;Residente;3034
SP;VENEZUELA;Provisório;1640
SP;CHINA;Provisório;583
SP;VENEZUELA;Residente;13057
SP;PAQUISTÃO;Residente;572
SP;CANADÁ;Residente;1293
SP;HONDURAS;Residente;125
SP;LÍBANO;Residente;6109
SP;BÉLGICA;Residente;1141
SP;IRLANDA;Residente;407
SP;SERVIA E MONTENEGRO;Residente;1196
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;190
SP;CORÉIA DO SUL;Provisório;62
SP;REINO UNIDO;Residente;3871
SP;CABO VERDE;Residente;316
SP;GUINÉ;Provisório;71
SP;PAÍSES BAIXOS;Residente;2472
SP;IRÃ;Residente;400
SP;HAITI;Provisório;22
SP;JAPÃO;Temporário;412
SP;MALI;Temporário;10
SP;NIGÉRIA;Provisório;501
SP;NORUEGA;Residente;236
SP;BANGLADESH;Residente;1337
SP;MARROCOS;Provisório;311
SP;CONGO;Residente;603
SP;GUINÉ BISSAU;Provisório;162
SP;SUÉCIA;Residente;985
SP;INDIA;Residente;1319
SP;AFEGANISTÃO;Temporário;1601
SP;MAURITÂNIA;Provisório;17
SP;MOÇAMBIQUE;Residente;261
SP;IRAQUE;Residente;206
SP;INDIA;Temporário;346
SP;UGANDA;Residente;21
SP;COSTA DO MARFIM;Provisório;29
SP;POLÔNIA;Residente;1273
SP;IÊMEN;Provisório;26
SP;AUSTRIA;Residente;1164
SP;SUÍCA;Temporário;48
SP;ALEMANHA;Temporário;380
SP;MÉXICO;Temporário;359
SP;NORUEGA;Temporário;31
SP;PORTUGAL;Temporário;257
SP;CAMARÕES;Residente;296
SP;SUÍCA;Residente;2073
SP;FRANÇA;Temporário;487
SP;ANGOLA;Temporário;806
SP;AFEGANISTÃO;Provisório;473
SP;REP. DOMINICANA;Provisório;95
SP;ESTADOS UNIDOS;Temporário;1928
SP;AUSTRÁLIA;Residente;616
SP;ROMÊNIA;Residente;1461
SP;CAMARÕES;Provisório;78
SP;RÚSSIA;Temporário;136
SP;EQUADOR;Residente;1776
SP;ITÁLIA;Temporário;324
SP;APÁTRIDA;Residente;683
SP;PAÍSES BAIXOS;Temporário;82
SP;CHINA;Temporário;1323
SP;AFRICA DO SUL;Residente;368
SP;UCRÂNIA;Temporário;142
SP;SENEGAL;Provisório;107
SP;HUNGRIA;Residente;537
SP;CUBA;Provisório;1345
SP;SÍRIA;Temporário;33
SP;GUINÉ BISSAU;Residente;786
SP;COLÔMBIA;Provisório;60
SP;CUBA;Temporário;214
SP;COSTA DO MARFIM;Residente;82
SP;BANGLADESH;Provisório;123
SP;BENIN;Temporário;52
SP;RÚSSIA;Residente;921
SP;FILIPINAS;Provisório;67
SP;CORÉIA DO SUL;Temporário;348
SP;SUDÃO;Residente;71
SP;ARGENTINA;Temporário;497
SP;JORDÂNIA;Residente;255
SP;URUGUAI;Temporário;40
SP;GUATEMALA;Residente;218
SP;SÉRVIA;Residente;83
SP;ESLOVÊNIA;Temporário;3
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Provisório;95
SP;FINLÂNDIA;Residente;301
SP;MALÁSIA;Residente;99
SP;BENIN;Residente;134
SP;SENEGAL;Residente;2264
SP;CINGAPURA;Temporário;20
SP;INDONÉSIA;Residente;195
SP;AUSTRÁLIA;Temporário;19
SP;ESTÔNIA;Residente;65
SP;EL SALVADOR;Temporário;35
SP;TURQUIA;Residente;495
SP;SUÉCIA;Temporário;96
SP;CINGAPURA;Residente;66
SP;TURQUIA;Provisório;49
SP;REPÚBLICA TCHECA;Residente;141
SP;LÍBANO;Temporário;63
SP;TOGO;Residente;166
SP;PAQUISTÃO;Temporário;41
SP;EGITO;Residente;830
SP;MÉXICO;Provisório;13
SP;REP. DOMINICANA;Residente;386
SP;MARROCOS;Residente;511
SP;IRLANDA;Temporário;11
SP;NEPAL;Temporário;6
SP;MALI;Provisório;42
SP;GÂMBIA;Residente;64
SP;COSTA RICA;Residente;278
SP;LITUÂNIA;Residente;1147
SP;BAHAMA,IS;Residente;4
SP;NICARÁGUA;Residente;163
SP;LIBÉRIA;Residente;27
SP;MOÇAMBIQUE;Provisório;45
SP;SAO TOMÉ E PRÍNCIPE;Residente;19
SP;NOVA ZELÂNDIA;Residente;145
SP;SENEGAL;Temporário;72
SP;MALI;Residente;153
SP;TOGO;Provisório;25
SP;GUIANA FRANCESA;Residente;79
SP;KUAITE;Residente;6
SP;LUXEMBURGO;Residente;31
SP;DINAMARCA;Residente;438
SP;REP. DOMINICANA;Temporário;173
SP;TAILÂNDIA;Residente;102
SP;CROÁCIA;Residente;94
SP;UCRÂNIA;Residente;293
SP;COSTA RICA;Provisório;4
SP;ETIÓPIA;Residente;21
SP;CHIPRE;Residente;14
SP;PALESTINA;Residente;411
SP;SERRA LEOA;Residente;140
SP;AFEGANISTÃO;Residente;105
SP;BÓSNIA-HERZEGOVINA;Residente;17
SP;TOGO;Temporário;9
SP;BURKINA FASO;Residente;79
