UF;NACIONALIDADE;CLASSIFICACAO;QTD
SP;CHILE;Residente;15819
SP;REINO UNIDO;Residente;3831
SP;ITÁLIA;Residente;25518
SP;BOLÍVIA;Residente;85417
SP;JAPÃO;Residente;41466
SP;FRANÇA;Residente;7723
SP;PORTUGAL;Residente;78295
SP;PARAGUAI;Residente;9868
SP;CORÉIA DO SUL;Residente;15542
SP;ARGENTINA;Residente;21385
SP;NIGÉRIA;Residente;4183
SP;ESPANHA;Residente;23125
SP;ISRAEL;Residente;974
SP;CHINA;Residente;35620
SP;ALEMANHA;Residente;10896
SP;ESTADOS UNIDOS;Residente;11007
SP;PANAMÁ;Residente;250
SP;COLÔMBIA;Residente;10436
SP;PAÍSES BAIXOS;Residente;2459
SP;VENEZUELA;Residente;11677
SP;SUÍCA;Residente;2064
SP;LÍBANO;Residente;5993
SP;URUGUAI;Residente;5327
SP;HUNGRIA;Residente;534
SP;CINGAPURA;Residente;65
SP;AUSTRIA;Residente;1163
SP;EL SALVADOR;Residente;195
SP;PERU;Residente;13964
SP;SERVIA E MONTENEGRO;Residente;1204
SP;ROMÊNIA;Residente;1462
SP;INDONÉSIA;Residente;194
SP;APÁTRIDA;Residente;688
SP;IRAQUE;Residente;199
SP;GUINÉ BISSAU;Residente;713
SP;CAMARÕES;Residente;275
SP;LITUÂNIA;Residente;1151
SP;ESTADOS UNIDOS;Temporário;1025
SP;GRÉCIA;Residente;1065
SP;DINAMARCA;Residente;426
SP;POLÔNIA;Residente;1270
SP;SUÉCIA;Residente;963
SP;COLÔMBIA;Temporário;3035
SP;FINLÂNDIA;Residente;300
SP;LUXEMBURGO;Residente;31
SP;JORDÂNIA;Residente;242
SP;NORUEGA;Residente;234
SP;CUBA;Residente;2752
SP;MÉXICO;Residente;2797
SP;FRANÇA;Temporário;476
SP;REPÚBLICA TCHECA;Residente;142
SP;CANADÁ;Residente;1264
SP;IRLANDA;Residente;398
SP;BÉLGICA;Residente;1132
SP;UCRÂNIA;Residente;291
SP;INDIA;Residente;1284
SP;MOÇAMBIQUE;Residente;240
SP;AFRICA DO SUL;Residente;352
SP;BOLÍVIA;Temporário;6975
SP;CROÁCIA;Residente;94
SP;BULGÁRIA;Residente;123
SP;SÍRIA;Residente;3714
SP;ETIÓPIA;Residente;17
SP;AUSTRÁLIA;Residente;604
