UF;NACIONALIDADE;CLASSIFICACAO;QTD
SP;BOLÍVIA;Residente;87402
SP;JAPÃO;Residente;41296
SP;URUGUAI;Residente;5442
SP;AUSTRIA;Residente;1159
SP;ARGENTINA;Residente;22252
SP;PANAMÁ;Residente;254
SP;PERU;Residente;14390
SP;PORTUGAL;Residente;77196
SP;CHINA;Residente;36199
SP;BOLÍVIA;Temporário;22111
SP;CHILE;Residente;15882
SP;LÍBANO;Residente;6215
SP;ITÁLIA;Residente;25235
SP;PARAGUAI;Residente;10188
SP;ESPANHA;Residente;22935
SP;COSTA DO MARFIM;Provisório;37
SP;ALEMANHA;Residente;10918
SP;AFEGANISTÃO;Temporário;2437
SP;RÚSSIA;Residente;977
SP;CANADÁ;Residente;1308
SP;GRÉCIA;Residente;1056
SP;ANGOLA;Provisório;4868
SP;ESTADOS UNIDOS;Residente;11232
SP;FRANÇA;Residente;7781
SP;COLÔMBIA;Temporário;4490
SP;ANGOLA;Temporário;965
SP;CORÉIA DO SUL;Residente;15728
SP;VENEZUELA;Residente;13770
SP;COLÔMBIA;Residente;11072
SP;HAITI;Residente;28318
SP;INDIA;Temporário;414
SP;MARROCOS;Residente;533
SP;APÁTRIDA;Residente;681
SP;CUBA;Provisório;1835
SP;ISRAEL;Residente;981
SP;VENEZUELA;Temporário;16027
SP;DINAMARCA;Residente;438
SP;PERU;Temporário;3486
SP;ROMÊNIA;Residente;1463
SP;SAO TOMÉ E PRÍNCIPE;Residente;21
SP;CAMARÕES;Provisório;70
SP;VENEZUELA;Provisório;1427
SP;TRINIDAD E TOBAGO;Residente;27
SP;BÉLGICA;Residente;1151
SP;POLÔNIA;Residente;1270
SP;IRÃ;Residente;418
SP;LITUÂNIA;Residente;1146
SP;IRAQUE;Residente;212
SP;NIGÉRIA;Residente;4641
SP;SERVIA E MONTENEGRO;Residente;1193
SP;AFEGANISTÃO;Provisório;368
SP;NOVA ZELÂNDIA;Residente;146
SP;EQUADOR;Residente;1815
SP;REINO UNIDO;Residente;3902
SP;MARROCOS;Provisório;360
SP;LÍBANO;Provisório;283
SP;SUÍCA;Residente;2079
SP;PAÍSES BAIXOS;Residente;2476
SP;CROÁCIA;Residente;96
SP;RÚSSIA;Provisório;97
SP;HUNGRIA;Residente;538
SP;TAILÂNDIA;Provisório;22
SP;ESTADOS UNIDOS;Temporário;2149
SP;SUÉCIA;Residente;993
SP;ETIÓPIA;Residente;22
SP;REP. DOMINICANA;Residente;398
SP;MÉXICO;Residente;2934
SP;INDIA;Residente;1334
SP;PARAGUAI;Temporário;1935
SP;HAITI;Temporário;5039
SP;CINGAPURA;Residente;74
SP;BANGLADESH;Residente;1436
SP;CHINA;Provisório;547
SP;INDONÉSIA;Residente;198
SP;SÍRIA;Residente;3952
