UF;NACIONALIDADE;CLASSIFICACAO;QTD
RJ;ITÁLIA;Residente;8357
RJ;PORTUGAL;Residente;70695
RJ;CHINA;Residente;6038
RJ;ARGENTINA;Residente;12165
RJ;NORUEGA;Residente;556
RJ;ESTADOS UNIDOS;Residente;5414
RJ;VENEZUELA;Temporário;1514
RJ;URUGUAI;Residente;2001
RJ;FRANÇA;Residente;5461
RJ;REINO UNIDO;Residente;2507
RJ;VENEZUELA;Residente;2342
RJ;ESPANHA;Residente;8098
RJ;ALEMANHA;Residente;3690
RJ;JAPÃO;Residente;2301
RJ;SUÉCIA;Residente;489
RJ;BOLÍVIA;Residente;1437
RJ;PERU;Residente;2612
RJ;PAÍSES BAIXOS;Residente;1095
RJ;EQUADOR;Residente;532
RJ;CHILE;Temporário;467
RJ;CUBA;Residente;645
RJ;BÉLGICA;Residente;570
RJ;CABO VERDE;Residente;135
RJ;PERU;Temporário;674
RJ;COLÔMBIA;Residente;2657
RJ;CONGO;Residente;348
RJ;VENEZUELA;Provisório;421
RJ;PANAMÁ;Residente;105
RJ;HAITI;Residente;1700
RJ;ESTADOS UNIDOS;Temporário;653
RJ;CHILE;Residente;2730
RJ;NICARÁGUA;Residente;78
RJ;ANGOLA;Residente;2344
RJ;ANGOLA;Provisório;183
RJ;COSTA RICA;Residente;91
RJ;SÍRIA;Residente;528
RJ;AUSTRIA;Residente;516
RJ;APÁTRIDA;Residente;108
RJ;DINAMARCA;Residente;334
RJ;EQUADOR;Temporário;378
RJ;AFRICA DO SUL;Residente;146
RJ;SUÍCA;Residente;1175
RJ;SÉRVIA;Temporário;5
RJ;FILIPINAS;Temporário;950
RJ;CANADÁ;Residente;566
RJ;ANGOLA;Temporário;137
RJ;POLÔNIA;Temporário;416
RJ;COLÔMBIA;Temporário;1112
RJ;EGITO;Residente;90
RJ;AUSTRÁLIA;Residente;294
RJ;TUNÍSIA;Residente;37
RJ;INDONÉSIA;Residente;45
RJ;IRLANDA;Residente;152
RJ;FRANÇA;Temporário;678
RJ;PARAGUAI;Residente;674
RJ;POLÔNIA;Residente;484
RJ;REINO UNIDO;Temporário;677
RJ;TCHECOSLOVAQUIA;Residente;48
RJ;LÍBANO;Residente;632
RJ;AUSTRÁLIA;Temporário;36
RJ;RÚSSIA;Residente;520
RJ;ARGENTINA;Temporário;319
RJ;CROÁCIA;Temporário;75
RJ;CORÉIA DO SUL;Temporário;24
RJ;DINAMARCA;Temporário;71
RJ;PAÍSES BAIXOS;Temporário;152
RJ;CANADÁ;Temporário;109
RJ;IRAQUE;Residente;57
RJ;ISRAEL;Residente;248
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;133
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Provisório;32
RJ;NORUEGA;Temporário;331
RJ;ARGÉLIA;Residente;39
RJ;REPÚBLICA TCHECA;Residente;52
RJ;ALEMANHA;Temporário;217
RJ;MÉXICO;Residente;747
RJ;UCRÂNIA;Residente;74
RJ;MARROCOS;Residente;108
RJ;HUNGRIA;Residente;153
RJ;PALESTINA;Residente;21
RJ;ESPANHA;Temporário;124
RJ;CROÁCIA;Residente;35
RJ;IRÃ;Residente;91
RJ;GANA;Residente;97
RJ;IÊMEN;Residente;6
RJ;INDONÉSIA;Temporário;76
RJ;CUBA;Provisório;87
RJ;GUINÉ BISSAU;Residente;79
RJ;JAPÃO;Temporário;113
RJ;UCRÂNIA;Temporário;132
RJ;BAHAMA,IS;Residente;3
RJ;INDIA;Residente;317
RJ;SUÉCIA;Temporário;46
RJ;MALÁSIA;Residente;52
RJ;TANZÂNIA;Temporário;2
RJ;TAILÂNDIA;Temporário;90
RJ;CAMARÕES;Provisório;5
RJ;MOÇAMBIQUE;Residente;58
RJ;FILIPINAS;Residente;187
RJ;GANA;Provisório;6
RJ;SENEGAL;Temporário;36
RJ;ROMÊNIA;Residente;196
RJ;PORTUGAL;Temporário;168
RJ;GRÉCIA;Residente;271
RJ;COSTA RICA;Temporário;11
RJ;FILIPINAS;Provisório;9
RJ;LETÔNIA;Residente;16
RJ;HAITI;Temporário;483
RJ;SENEGAL;Provisório;2
RJ;INDIA;Temporário;315
RJ;TURQUIA;Residente;97
RJ;GUIANA FRANCESA;Residente;38
RJ;URUGUAI;Temporário;18
RJ;RÚSSIA;Temporário;118
RJ;NIGÉRIA;Residente;186
RJ;MÉXICO;Temporário;249
